Geo Point;Geo Shape;ID;adresse;patrimoine
43.6075627014, 1.3658274469;"{""type"": ""LineString"", ""coordinates"": [[1.364538462391699, 43.607895637753145], [1.366954709293945, 43.60727326192625], [1.367107627349944, 43.60720463456291]]}";425;RUE ALAIN FOURNIER;22 ERABLE DE ROTTERDAM
43.5981353259, 1.42944061141;"{""type"": ""LineString"", ""coordinates"": [[1.429573345518412, 43.59799871312985], [1.429307877307437, 43.5982719385894]]}";432;RUE VILLENEUVE;5 CHENE VERT
43.6048247177, 1.35462550628;"{""type"": ""LineString"", ""coordinates"": [[1.355300705283595, 43.60625429474757], [1.355122972116537, 43.604940783801155], [1.354986779640031, 43.604769485654884], [1.353349348952312, 43.60379715605682]]}";426;IMP. JEANNE BENOZZI;52 FRENE
43.609789797, 1.37790919525;"{""type"": ""LineString"", ""coordinates"": [[1.376568324452571, 43.610240890393165], [1.377232177139717, 43.6100118734273], [1.378523923678598, 43.60958042756964], [1.379256613083574, 43.609358956237685]]}";361;RUE SENTENAC;26 PLATANE
43.6265571264, 1.45340547305;"{""type"": ""LineString"", ""coordinates"": [[1.452246553049035, 43.627643419438506], [1.453739134218693, 43.62666343368257], [1.453754346922603, 43.6263390301258], [1.453706696431842, 43.62577381542281], [1.454285466887235, 43.62530053477035]]}";184;RUE FRENAY;67 ROBINIER
43.6331182698, 1.47279108498;"{""type"": ""LineString"", ""coordinates"": [[1.472497599445594, 43.63373726600764], [1.473207024403739, 43.633066426983056], [1.472260132537603, 43.63263742212182]]}";441;RUE ESTIVAL;14 PIN PARASOL
43.6179230245, 1.46668007167;"{""type"": ""LineString"", ""coordinates"": [[1.465072882230276, 43.615866385771206], [1.46513512426177, 43.61625913935008], [1.465374986048651, 43.6169563863971], [1.466012564404289, 43.61761789937935], [1.468849923850696, 43.61956194425206]]}";442;AV. YVES BRUNAUD;44 PIN PARASOL,15 CHENE LIEGE,45 MICOCOULIER
43.6097323227, 1.43726326319;"{""type"": ""LineString"", ""coordinates"": [[1.436938255662916, 43.609677824873046], [1.437588270716358, 43.6097868204704]]}";66;RUE DES QUETEURS;15 ERABLE
43.6352397774, 1.48753685964;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.487481178392133, 43.635531333229], [1.487338146184231, 43.63530723342193], [1.487362801260255, 43.63525449714293], [1.487574187933127, 43.635160319181125]], [[1.487787989772622, 43.63503448210617], [1.487957030249913, 43.63497202610922]]]}";478;IMP NICEPHORE NIEPCE;6 MICOCOULIER,6 CHENE VERT
43.6360637464, 1.490369723;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.491460511971056, 43.63641600581762], [1.490672040906424, 43.6363357847881]], [[1.489768095858512, 43.63511833584391], [1.489989440750572, 43.63549169175596]], [[1.490015379191715, 43.636240605513905], [1.489475088355784, 43.63618877181304]]]}";480;RUE JACQUES PROVOST;1 POIRIER,5 ERABLE,4 CHENE,8 CORYLUS,5 PIN PARASOL,1 LIQUIDAMBAR
43.6596663734, 1.4362145823;"{""type"": ""LineString"", ""coordinates"": [[1.435199614882882, 43.6586962135693], [1.436834065675243, 43.65919646114448], [1.436926371193332, 43.65929748027042], [1.435723345282228, 43.66118588289007]]}";483;RUE ANDRE CLAROUS;30 TILLEUL
43.6020233686, 1.42611107276;"{""type"": ""LineString"", ""coordinates"": [[1.424448033044277, 43.60300842364677], [1.425064645525332, 43.6026335525797], [1.426517664132303, 43.601775744844126], [1.426935769229626, 43.601592713135744], [1.427113364971887, 43.60147208975436], [1.427745596190586, 43.60099995545914]]}";351;AVENUE DU CHÂTEAU D'EAU;26 PLATANE,7 CORYLUS,9 POIRIER
43.6357175011, 1.46630723861;"{""type"": ""LineString"", ""coordinates"": [[1.465827795049228, 43.635567314943565], [1.465881402491371, 43.635552599864816], [1.465968295958494, 43.63554152115061], [1.466114931754426, 43.6355802229132], [1.466661981637033, 43.6359225109412], [1.466769064346261, 43.63596152556191]]}";503;RUE DU COLONEL REMY;7 FRENE
43.6379675396, 1.44557400583;"{""type"": ""LineString"", ""coordinates"": [[1.444321813006726, 43.63801786525486], [1.446466698038531, 43.63793453371572], [1.446824775960758, 43.63789727993888]]}";353;RUE PAILLOLE;20 CHENE
43.6162556631, 1.47951215744;"{""type"": ""LineString"", ""coordinates"": [[1.479281619160614, 43.61650847813234], [1.47974269572255, 43.61600284813483]]}";119;PARKING ARGOULETS;35 PLATANE
43.630765501, 1.4391544624;"{""type"": ""LineString"", ""coordinates"": [[1.439882534291302, 43.630584721714904], [1.438797331892712, 43.630814924875224], [1.438491183678418, 43.63107741808356]]}";16;RUE M. LOUBENS;5 PLATANE,13 MELIAS
43.6321184527, 1.42266090093;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.423490454371567, 43.630573832739366], [1.422243857794099, 43.63286182280836]], [[1.42213613562808, 43.63306853939333], [1.42183056587734, 43.633800479694706]]]}";512;CHEMIN DE FENOUILLET;35 FRENE
43.6250111212, 1.43880238662;"{""type"": ""LineString"", ""coordinates"": [[1.438873789220396, 43.625173513441794], [1.438730984015784, 43.624848729022084]]}";521;PLACE AMAT MASSOT;8 SOPHORA
43.5758574416, 1.43951422551;"{""type"": ""LineString"", ""coordinates"": [[1.44014134540132, 43.57683188272836], [1.440041995650098, 43.57644699404698], [1.439854945696932, 43.576163563312114], [1.43969668409864, 43.575975431108226], [1.43957976067753, 43.57584664565616], [1.438690636784889, 43.57500946217184]]}";523;RUE DES MOUETTES;21 FRENE
43.6478903864, 1.44876759224;"{""type"": ""LineString"", ""coordinates"": [[1.447879636697696, 43.647416856763805], [1.449655547787389, 43.64836391598328]]}";527;ALLEE DU GRAND SELVE;12 FRENE,4 GLEDITSCHIA
43.5715498457, 1.42766075944;"{""type"": ""LineString"", ""coordinates"": [[1.427618331686123, 43.571915355265496], [1.427703187190964, 43.57118433616797]]}";531;IMPASSE LANGLADE;9 CORYLUS
